"COURS_IDNO","COURS_DATA_SET_TPCD","COURS_NM","COURS_SNNM","COURS_DSCRT","COURS_CTPRV_NM","COURS_EMNDN_NM","COURS_LTNO","COURS_ARA_NM","COURS_WEBS_ADDR","COURS_TOT_LNGTH","COURS_AVRG_GRDNT","COURS_TOP_HASLV","COURS_LOWST_HASLV","COURS_UPR_LNGTH","COURS_FTL_LNGTH","COURS_DST_LNGTH","COURS_DGDFF_VAL","DATA_STCD","COURS_RQRMN_TM","DATA_RGSTN_DTM","DATA_UPDT_DTM","DATA_CONNO","OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
"398171","UCRN","대전광역시대덕구_20190101_093338","대전광역시대덕구_20190101_093338","새해첫날 천변달리기","대전광역시","대덕구 덕암동","NA","대전광역시 대덕구","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5092","10327.00","0.89","64.00","28.00","0.31","9.81","0.21","0","ACCEPT","0","2019-09-30 14:44:20","2019-12-17 21:00:35","398171","I","20190930144420000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398247","UCRN","새해_첫__넌닝_20181231_230317","새해_첫__넌닝_20181231_230317","새해_첫__넌닝_20181231_230317","서울특별시","마포구 신수동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/40","8091.00","0.07","62.00","34.00","0.00","8.09","0.00","0","ACCEPT","0","2019-09-30 14:44:50","2019-12-17 21:00:35","398247","I","20190930144450000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398322","UCRN","정자-천천3_20181231_231725","정자-천천3_20181231_231725","정자-천천3_20181231_231725","경기도","수원시 장안구 정자3동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/56","2551.00","6.00","333.00","61.00","0.30","1.65","0.60","0","ACCEPT","0","2019-09-30 14:45:24","2019-12-17 21:00:35","398322","I","20190930144524000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398339","UCRN","강원도원주시_20190101_095053","강원도원주시_20190101_095053","강원도원주시_20190101_095053","강원도","원주시 명륜1동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5106","7828.00","1.08","201.00","162.00","0.10","7.50","0.20","0","ACCEPT","0","2019-09-30 14:45:32","2019-12-17 21:00:35","398339","I","20190930144532000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398352","UCRN","전라북도전주시덕진구_20190101_002031","전라북도전주시덕진구_20190101_002031","전라북도전주시덕진구_20190101_002031","전라북도","전주시 덕진구 동산동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/63","1651.00","0.00","55.00","51.00","0.00","1.65","0.00","0","ACCEPT","0","2019-09-30 14:45:37","2019-12-17 21:00:35","398352","I","20190930144537000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398384","UCRN","구룡터ㅡ호평_20190101_113954","구룡터ㅡ호평_20190101_113954","구룡터ㅡ호평_20190101_113954","경기도","남양주시 호평동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6124","1355.00","1.48","240.00","172.00","0.00","1.26","0.10","0","ACCEPT","0","2019-09-30 14:45:51","2019-12-17 21:00:35","398384","I","20190930144551000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398411","UCRN","경상남도진해시_20190101_093625","경상남도진해시_20190101_093625","경상남도진해시_20190101_093625","경상남도","창원시 진해구 중앙동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/5116","11010.00","0.05","46.00","38.00","0.00","11.01","0.00","0","ACCEPT","0","2019-09-30 14:46:04","2019-12-17 21:00:35","398411","I","20190930144604000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398415","UCRN","경기도고양시일산서구_20181231_231335","경기도고양시일산서구_20181231_231335","경기도고양시일산서구_20181231_231335","경기도","고양시 일산서구 송산동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/75","13636.00","1.28","43.00","-41.00","0.14","13.06","0.41","0","ACCEPT","0","2019-09-30 14:46:06","2019-12-17 21:00:35","398415","I","20190930144606000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398421","UCRN","서울특별시영등포구_20190101_090425","서울특별시영등포구_20190101_090425","서울특별시영등포구_20190101_090425","서울특별시","영등포구 여의동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6130","165.00","8.48","47.00","21.00","0.10","0.07","0.00","0","ACCEPT","0","2019-09-30 14:46:08","2019-12-17 21:00:35","398421","I","20190930144608000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398485","UCRN","충청남도천안시서북구_20181231_231345","충청남도천안시서북구_20181231_231345","충청남도천안시서북구_20181231_231345","충청남도","천안시 서북구 불당동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/86","1435.00","1.05","89.00","43.00","0.00","1.43","0.00","0","ACCEPT","0","2019-09-30 14:46:34","2019-12-17 21:00:35","398485","I","20190930144634000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
