"COURSE_TRK_CONN_RLTN_IDNO","CONN_TRK_IDNO","CONN_COURS_IDNO","COURS_TRK_ORDR","DATA_STCD","DATA_RGSTN_DTM","DATA_UPDT_DTM","DATA_CONNO","OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
"661756","20195092","398171","1","ACCEPT","2019-09-30 14:44:20","2019-10-15 17:13:45","398171","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"656781","201940","398247","1","ACCEPT","2019-09-30 14:44:50","2019-10-15 17:13:45","398247","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"656797","201956","398322","1","ACCEPT","2019-09-30 14:45:24","2019-10-15 17:13:45","398322","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"661770","20195106","398339","1","ACCEPT","2019-09-30 14:45:32","2019-10-15 17:13:45","398339","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"656804","201963","398352","1","ACCEPT","2019-09-30 14:45:37","2019-10-15 17:13:45","398352","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"662778","20196124","398384","1","ACCEPT","2019-09-30 14:45:51","2019-10-15 17:13:45","398384","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"661780","20195116","398411","1","ACCEPT","2019-09-30 14:46:04","2019-10-15 17:13:45","398411","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"656816","201975","398415","1","ACCEPT","2019-09-30 14:46:06","2019-10-15 17:13:45","398415","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"662784","20196130","398421","1","ACCEPT","2019-09-30 14:46:08","2019-10-15 17:13:45","398421","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"656826","201986","398485","1","ACCEPT","2019-09-30 14:46:34","2019-10-15 17:13:45","398485","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"656834","201994","398539","1","ACCEPT","2019-09-30 14:46:53","2019-10-15 17:13:45","398539","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"658813","20192110","398629","1","ACCEPT","2019-09-30 14:47:33","2019-10-15 17:13:45","398630","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"657866","20191153","398693","1","ACCEPT","2019-09-30 14:48:10","2019-10-15 17:13:45","398694","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"661810","20195146","398718","1","ACCEPT","2019-09-30 14:48:22","2019-10-15 17:13:45","398719","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"656859","2019121","398723","1","ACCEPT","2019-09-30 14:48:24","2019-10-15 17:13:45","398724","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"661815","20195151","398765","1","ACCEPT","2019-09-30 14:48:42","2019-10-15 17:13:45","398766","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"656877","2019139","398847","1","ACCEPT","2019-09-30 14:49:20","2019-10-15 17:13:45","398848","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"656888","2019150","398903","1","ACCEPT","2019-09-30 14:49:46","2019-10-15 17:13:45","398904","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"656893","2019155","398929","1","ACCEPT","2019-09-30 14:49:57","2019-10-15 17:13:45","398930","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"662847","20196194","398939","1","ACCEPT","2019-09-30 14:50:01","2019-10-15 17:13:45","398940","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"659854","20193162","398995","1","ACCEPT","2019-09-30 14:50:19","2019-10-15 17:13:45","398996","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"657935","20191224","399040","1","ACCEPT","2019-09-30 14:50:31","2019-10-15 17:13:45","399041","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"657939","20191228","399063","1","ACCEPT","2019-09-30 14:50:39","2019-10-15 17:13:45","399064","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"657943","20191232","399088","1","ACCEPT","2019-09-30 14:50:46","2019-10-15 17:13:45","399089","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"659868","20193177","399141","1","ACCEPT","2019-09-30 14:51:08","2019-10-15 17:13:45","399142","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"656919","2019181","399171","1","ACCEPT","2019-09-30 14:51:25","2019-10-15 17:13:45","399172","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"657955","20191244","399182","1","ACCEPT","2019-09-30 14:51:31","2019-10-15 17:13:45","399183","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
"657964","20191253","399226","1","ACCEPT","2019-09-30 14:51:52","2019-10-15 17:13:45","399227","I","20191015161113000","20191015051329","20191015051345","S","trk_tx_191015171329296001"
