"TRK_IDNO","TRK_NM","TRK_SNNM","TRK_LNGTH","TRK_CTPRV_NM","TRK_EMNDN_NM","TRK_LTNO","TRK_ARA_NM","TRK_RQRMN_TM","TRK_RST_TM","TRK_SPRT_ITE_IDNO","TRK_BGN_LCTN_LNGTD","TRK_BGN_LCTN_LTTD","TRK_END_LCTN_LNGTD","TRK_END_LCTN_LTTD","TRK_AVRG_GRDNT","TRK_TOP_HASLV","TRK_LOWST_HASLV","TRK_UPR_LNGTH","TRK_FTL_LNGTH","TRK_DST_LNGTH","TRK_DGDFF_VAL","DATA_STCD","DATA_RGSTN_DTM","DATA_UPDT_DTM","DATA_CONNO","OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
"20195092","대전광역시대덕구_20190101_093338","대전광역시대덕구_20190101_093338","10327.00","대전광역시","대덕구 덕암동","","","11105","0","4","127.419716","36.430511","127.388275","36.371140","0.89","64.00","28.00","0.31","9.81","0.21","0","ACCEPT","2019-09-30 14:44:17","2019-12-17 17:22:27","394078","I","20190930144417000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"201940","새해_첫__넌닝_20181231_230317","새해_첫__넌닝_20181231_230317","8091.00","서울특별시","마포구 신수동","","","11010","137","4","126.931290","37.544453","126.931351","37.544529","0.07","62.00","34.00","0.00","8.09","0.00","0","ACCEPT","2019-09-30 14:44:46","2019-12-17 17:22:27","394138","I","20190930144446000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"201956","정자-천천3_20181231_231725","정자-천천3_20181231_231725","2551.00","경기도","수원시 장안구 정자3동","","","3252","3015","4","126.983406","37.298691","126.984856","37.298149","6.00","333.00","61.00","0.30","1.65","0.60","0","ACCEPT","2019-09-30 14:45:23","2019-12-17 17:22:27","394211","I","20190930144523000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20195106","강원도원주시_20190101_095053","강원도원주시_20190101_095053","7828.00","강원도","원주시 명륜1동","","","5453","0","4","127.944038","37.336617","127.943886","37.336742","1.08","201.00","162.00","0.10","7.50","0.20","0","ACCEPT","2019-09-30 14:45:28","2019-12-17 17:22:27","394222","I","20190930144528000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"201963","전라북도전주시덕진구_20190101_002031","전라북도전주시덕진구_20190101_002031","1651.00","전라북도","전주시 덕진구 동산동","","","428","0","4","127.071548","35.868290","127.064163","35.869713","0.00","55.00","51.00","0.00","1.65","0.00","0","ACCEPT","2019-09-30 14:45:36","2019-12-17 17:22:27","394242","I","20190930144536000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20196124","구룡터ㅡ호평_20190101_113954","구룡터ㅡ호평_20190101_113954","1355.00","경기도","남양주시 호평동","","","1604","0","4","127.255501","37.657829","127.244110","37.653278","1.48","240.00","172.00","0.00","1.26","0.10","0","ACCEPT","2019-09-30 14:45:50","2019-12-17 17:22:27","394273","I","20190930144550000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20195116","경상남도진해시_20190101_093625","경상남도진해시_20190101_093625","11010.00","경상남도","창원시 진해구 중앙동","","","10821","124","4","128.655487","35.149319","128.655441","35.149330","0.05","46.00","38.00","0.00","11.01","0.00","0","ACCEPT","2019-09-30 14:45:58","2019-12-17 17:22:27","394289","I","20190930144558000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"201975","경기도고양시일산서구_20181231_231335","경기도고양시일산서구_20181231_231335","13636.00","경기도","고양시 일산서구 송산동","","","11713","0","4","126.719238","37.689781","126.719383","37.690037","1.28","43.00","-41.00","0.14","13.06","0.41","0","ACCEPT","2019-09-30 14:45:59","2019-12-17 17:22:27","394290","I","20190930144559000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20196130","서울특별시영등포구_20190101_090425","서울특별시영등포구_20190101_090425","165.00","서울특별시","영등포구 여의동","","","23358","20","4","126.930115","37.529808","126.930283","37.529934","8.48","47.00","21.00","0.10","0.07","0.00","0","ACCEPT","2019-09-30 14:46:08","2019-12-17 17:22:27","394312","I","20190930144608000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"201986","충청남도천안시서북구_20181231_231345","충청남도천안시서북구_20181231_231345","1435.00","충청남도","천안시 서북구 불당동","","","3850","2801","4","127.105125","36.816376","127.104919","36.816227","1.05","89.00","43.00","0.00","1.43","0.00","0","ACCEPT","2019-09-30 14:46:33","2019-12-17 17:22:27","394370","I","20190930144633000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
