"WPT_IDNO","PRNTS_TRK_IDNO","CNTCT_TRK_PNT_IDNO","WPT_NM","WPT_SRTNG_ORDR","WPT_LNGTD","WPT_LTTD","WPT_HASLV","WPT_XCRD","WPT_YCRD","WPT_RCRD_DTM","WPT_ATTCH_PHTGR_NM","WPT_SGT_IDNO","WPT_DSCRT","DATA_STCD","DATA_RGSTN_DTM","DATA_UPDT_DTM","DATA_CONNO","OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
"7550205","201940","183979873","웨이포인트 1","1","126.918688","37.542558","36.42","948646.7400","1949406.5800","2019-01-01 00:00:57","2019/01/20190101000450Waypoint_201940.jpg","0","웨이포인트 1","ACCEPT","2019-09-30 14:44:50","2019-12-27 14:39:10","7550176","I","20190930144450000","20191227023910","","P","trk_tx_191227143910017000"
"7550206","201940","183979882","웨이포인트 2","2","126.918791","37.542547","36.49","948655.8300","1949405.3000","2019-01-01 00:01:33","2019/01/20190101000133Waypoint_201940.jpg","0","웨이포인트 2","ACCEPT","2019-09-30 14:44:50","2019-12-27 14:39:10","7550177","I","20190930144450000","20191227023910","","P","trk_tx_191227143910017000"
"7550207","201940","183979891","웨이포인트 3","3","126.921306","37.543323","36.96","948878.5400","1949490.0300","2019-01-01 00:04:41","2019/01/20190101000153Waypoint_201940.jpg","0","웨이포인트 3","ACCEPT","2019-09-30 14:44:50","2019-12-27 14:39:10","7550178","I","20190930144450000","20191227023910","","P","trk_tx_191227143910017000"
"7550272","20196130","184075468","웨이포인트 1","1","126.930032","37.530100","42.07","949640.5000","1948018.3000","2019-01-01 11:53:38","웨이포인트 1","0","웨이포인트 1","ACCEPT","2019-09-30 14:46:08","2019-12-27 14:39:10","7550243","I","20190930144608000","20191227023910","","P","trk_tx_191227143910017000"
"7551586","20194218","184611762","교통공원 18km","1","126.870038","35.238583","51.00","942681.8900","1693868.3300","2019-01-01 09:49:59","2019/01/20190101095010Waypoint_20194218.jpg","0","교통공원 18km","ACCEPT","2019-09-30 14:53:30","2019-12-27 14:39:10","7551557","I","20190930145330000","20191227023910","","P","trk_tx_191227143910017000"
"7553140","20195362","185317751","웨이포인트 1","1","126.439990","34.801533","34.25","903037.4200","1645731.1200","2019-01-01 07:45:30","웨이포인트 1","0","웨이포인트 1","ACCEPT","2019-09-30 15:03:17","2019-12-27 14:39:10","7553111","I","20190930150317000","20191227023910","","P","trk_tx_191227143910017000"
"7553141","20195362","185317757","웨이포인트 2","2","126.440436","34.800771","33.11","903077.3300","1645646.1800","2019-01-01 07:47:06","웨이포인트 2","0","웨이포인트 2","ACCEPT","2019-09-30 15:03:17","2019-12-27 14:39:10","7553112","I","20190930150317000","20191227023910","","P","trk_tx_191227143910017000"
"7553765","20193455","185630147","웨이포인트 4","4","106.728527","10.729388","2.00","-1319204.9700","-938824.7100","2019-01-01 08:48:30","웨이포인트 4","0","웨이포인트 4","ACCEPT","2019-09-30 15:08:38","2019-12-27 14:39:10","7553736","I","20190930150838000","20191227023910","","P","trk_tx_191227143910017000"
"7553766","20193455","185630156","웨이포인트 5","5","106.728528","10.729373","-1.30","-1319204.9800","-938826.4900","2019-01-01 08:48:51","웨이포인트 5","0","웨이포인트 5","ACCEPT","2019-09-30 15:08:38","2019-12-27 14:39:10","7553737","I","20190930150838000","20191227023910","","P","trk_tx_191227143910017000"
"7553762","20193455","185630126","웨이포인트 1","1","106.735633","10.728022","3.60","-1318389.1100","-939043.9600","2019-01-01 08:34:16","웨이포인트 1","0","웨이포인트 1","ACCEPT","2019-09-30 15:08:38","2019-12-27 14:39:10","7553733","I","20190930150838000","20191227023910","","P","trk_tx_191227143910017000"
